Node ID,Distance,Conductance,Type,Name,Source Population,Release Probability
0,61.5056962026473,5.006072743214849e-08,dend,L5PCtemplate[0].dend[60](0.264706),exc_stim,0.6
0,112.52205686541761,3.250785082369533e-08,dend,L5PCtemplate[0].dend[28](0.128571),exc_stim,0.6
0,73.49447960396184,5.547276774386423e-08,dend,L5PCtemplate[0].dend[29](0.7),exc_stim,0.6
0,101.53046839460707,1.0059300824840203e-07,dend,L5PCtemplate[0].dend[33](0.264706),exc_stim,0.6
0,65.67557624911743,3.0455957018526e-08,dend,L5PCtemplate[0].dend[48](0.409091),exc_stim,0.6
1,79.88772325746913,3.045629700961368e-08,dend,L5PCtemplate[0].dend[39](0.710526),exc_stim,0.6
1,63.15924307395112,1.0451018165298765e-07,dend,L5PCtemplate[0].dend[9](0.5),exc_stim,0.6
1,105.47120651103141,6.017842817363489e-08,dend,L5PCtemplate[0].dend[5](0.24359),exc_stim,0.6
1,88.49184295283564,2.5952670033980555e-08,dend,L5PCtemplate[0].dend[58](0.06),exc_stim,0.6
1,67.87441864860507,5.1645850082266735e-08,dend,L5PCtemplate[0].dend[6](0.240741),exc_stim,0.6
1,60.96646198846374,2.605977035483166e-08,dend,L5PCtemplate[0].dend[48](0.318182),exc_stim,0.6
1,68.94748552015548,2.601883419713952e-08,dend,L5PCtemplate[0].dend[29](0.5),exc_stim,0.6
1,80.70919752179721,4.2098732616826226e-08,dend,L5PCtemplate[0].dend[5](0.115385),exc_stim,0.6
2,113.74002608987998,1e-08,dend,L5PCtemplate[0].dend[27](0.346154),exc_stim,0.6
2,93.48692671253623,1.105223394270814e-08,dend,L5PCtemplate[0].dend[58](0.1),exc_stim,0.6
2,68.94748552015548,2.4365445636019844e-08,dend,L5PCtemplate[0].dend[29](0.5),exc_stim,0.6
2,62.55939761839209,1.7936140880497764e-08,dend,L5PCtemplate[0].dend[55](0.5),exc_stim,0.6
2,92.1013583213023,4.4219596242661227e-08,dend,L5PCtemplate[0].dend[33](0.147059),exc_stim,0.6
2,56.25734772781005,1.9260984743538373e-08,dend,L5PCtemplate[0].dend[48](0.227273),exc_stim,0.6
3,82.67224824799756,1.3669886353893386e-08,dend,L5PCtemplate[0].dend[33](0.0294118),exc_stim,0.6
3,108.47217799163805,9.67438090124662e-08,dend,L5PCtemplate[0].dend[58](0.22),exc_stim,0.6
3,105.47120651103141,3.062992953931947e-08,dend,L5PCtemplate[0].dend[5](0.24359),exc_stim,0.6
3,132.1164584016623,3.739027914318395e-08,dend,L5PCtemplate[0].dend[41](0.642857),exc_stim,0.6
4,71.0699898062357,1.355470444312255e-08,dend,L5PCtemplate[0].dend[60](0.382353),exc_stim,0.6
4,109.78162707048733,2.4663893758629185e-08,dend,L5PCtemplate[0].dend[44](0.676471),exc_stim,0.6
4,54.32575188681271,3.850995871066726e-08,dend,L5PCtemplate[0].dend[45](0.0172414),exc_stim,0.6
4,67.87441864860507,1.6327875679988788e-08,dend,L5PCtemplate[0].dend[6](0.240741),exc_stim,0.6
